RUN	simulations.FullVideoGameDBTest	fullvideogamedbtest	1633424409820	 	3.6.1
REQUEST		Get All Video Games	1633424421952	1633424421953	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
USER	Video Game DB	START	1633424421915
REQUEST		Post New Game	1633424424001	1633424424001	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get All Video Games	1633424424901	1633424424902	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
USER	Video Game DB	START	1633424424900
REQUEST		Get Last Posted Game	1633424426026	1633424426026	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get All Video Games	1633424427903	1633424432817	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
USER	Video Game DB	START	1633424427902
REQUEST		Post New Game	1633424426909	1633424432817	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Delete Last Posted Game	1633424428031	1633424432817	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get All Video Games	1633424432828	1633424432828	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get Last Posted Game	1633424434838	1633424434838	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Post New Game	1633424434842	1633424434842	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Post New Game	1633424434848	1633424434848	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get Last Posted Game	1633424436849	1633424436849	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Delete Last Posted Game	1633424436849	1633424436849	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get All Video Games	1633424436853	1633424436854	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get Last Posted Game	1633424436865	1633424436865	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Delete Last Posted Game	1633424438870	1633424438870	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Post New Game	1633424438873	1633424438874	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get All Video Games	1633424438878	1633424438878	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Delete Last Posted Game	1633424438886	1633424438886	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get All Video Games	1633424438891	1633424438891	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get Last Posted Game	1633424440889	1633424440889	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Post New Game	1633424440891	1633424440891	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Post New Game	1633424440906	1633424440907	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Delete Last Posted Game	1633424442899	1633424448814	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get Last Posted Game	1633424442914	1633424448813	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get Last Posted Game	1633424442898	1633424448813	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get All Video Games	1633424448815	1633424448815	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Delete Last Posted Game	1633424450830	1633424450831	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Delete Last Posted Game	1633424450830	1633424450831	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get All Video Games	1633424450835	1633424450835	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get All Video Games	1633424450837	1633424450837	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Post New Game	1633424450843	1633424450844	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get Last Posted Game	1633424452853	1633424452853	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Post New Game	1633424452856	1633424452856	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Post New Game	1633424452860	1633424452860	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Delete Last Posted Game	1633424454866	1633424454867	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get All Video Games	1633424454871	1633424454872	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get Last Posted Game	1633424454867	1633424454867	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get Last Posted Game	1633424454866	1633424454867	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Delete Last Posted Game	1633424456884	1633424456885	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Delete Last Posted Game	1633424456884	1633424456885	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Post New Game	1633424456886	1633424456886	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get All Video Games	1633424456886	1633424456886	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get All Video Games	1633424456886	1633424456887	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Post New Game	1633424458904	1633424464814	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Post New Game	1633424458908	1633424464814	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get Last Posted Game	1633424458901	1633424464814	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get Last Posted Game	1633424466818	1633424466818	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Delete Last Posted Game	1633424466835	1633424466835	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get Last Posted Game	1633424466835	1633424466835	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get All Video Games	1633424466836	1633424466836	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Delete Last Posted Game	1633424468826	1633424468826	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get All Video Games	1633424468829	1633424468829	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Delete Last Posted Game	1633424468841	1633424468841	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Post New Game	1633424468845	1633424468845	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get All Video Games	1633424468845	1633424468845	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Post New Game	1633424470844	1633424470845	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get Last Posted Game	1633424470859	1633424470859	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Post New Game	1633424470860	1633424470860	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get Last Posted Game	1633424472850	1633424472850	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get Last Posted Game	1633424472866	1633424472866	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Delete Last Posted Game	1633424472866	1633424472866	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
REQUEST		Get All Video Games	1633424472867	1633424472867	KO	j.n.UnknownHostException: video-game-db.eu-west-2.elasticbeanstalk.com
